[1] "not converged = 2000"
[1] "total params = 3974"
[1] "which not converged: "
                Rhat
sd[1]       1.102755
use[2,30]   1.116699
use[6,73]   1.117123
use[10,1]   1.124058
use[5,83]   1.124102
use[7,103]  1.124494
use[6,106]  1.124813
use[11,122] 1.125575
use[16,12]  1.127399
mu[6,119]   1.132735
mu[6,120]   1.132735
mu[6,121]   1.132735
mu[6,122]   1.132735
mu[6,123]   1.132735
mu[6,124]   1.132735
mu[6,29]    1.135259
mu[6,30]    1.135259
mu[6,31]    1.135259
mu[6,32]    1.135259
mu[6,33]    1.135259
mu[6,34]    1.135259
mu[6,35]    1.135259
mu[6,36]    1.135259
mu[6,37]    1.135259
mu[6,38]    1.135259
mu[6,39]    1.135259
mu[6,42]    1.143060
mu[6,43]    1.143060
mu[6,44]    1.143060
mu[6,45]    1.143060
mu[6,46]    1.143060
mu[6,47]    1.143060
mu[16,29]   1.146036
mu[16,30]   1.146036
mu[16,31]   1.146036
mu[16,32]   1.146036
mu[16,33]   1.146036
mu[16,34]   1.146036
mu[16,35]   1.146036
mu[16,36]   1.146036
mu[16,37]   1.146036
mu[16,38]   1.146036
mu[16,39]   1.146036
mu[6,19]    1.148466
mu[6,20]    1.148466
mu[6,21]    1.148466
mu[14,64]   1.148925
mu[14,65]   1.148925
mu[14,66]   1.148925
mu[14,67]   1.148925
mu[14,68]   1.148925
use[7,30]   1.157423
mu[13,115]  1.158684
mu[13,116]  1.158684
mu[13,117]  1.158684
mu[13,118]  1.158684
mu[13,106]  1.160038
mu[13,107]  1.160038
mu[13,108]  1.160038
mu[13,109]  1.160038
mu[13,110]  1.160038
mu[13,111]  1.160038
mu[13,112]  1.160038
mu[13,113]  1.160038
mu[13,114]  1.160038
mu[6,24]    1.163112
mu[6,25]    1.163112
mu[6,26]    1.163112
mu[6,27]    1.163112
mu[6,28]    1.163112
mu[12,106]  1.164053
mu[12,107]  1.164053
mu[12,108]  1.164053
mu[12,109]  1.164053
mu[12,110]  1.164053
mu[12,111]  1.164053
mu[12,112]  1.164053
mu[12,113]  1.164053
mu[12,114]  1.164053
mu[12,7]    1.165217
mu[12,8]    1.165217
mu[12,9]    1.165217
mu[12,10]   1.165217
mu[12,11]   1.165217
mu[12,12]   1.165217
mu[12,13]   1.165217
mu[12,14]   1.165217
mu[12,15]   1.165217
mu[10,100]  1.165412
mu[10,101]  1.165412
mu[10,102]  1.165412
mu[8,29]    1.165446
mu[8,30]    1.165446
mu[8,31]    1.165446
mu[8,32]    1.165446
mu[8,33]    1.165446
mu[8,34]    1.165446
mu[8,35]    1.165446
mu[8,36]    1.165446
mu[8,37]    1.165446
mu[8,38]    1.165446
mu[8,39]    1.165446
mu[10,86]   1.166234
