[1] "not converged = 2021"
[1] "total params = 3974"
[1] "which not converged: "
                Rhat
use[9,21]   1.102674
use[9,103]  1.103918
use[8,10]   1.105476
use[12,78]  1.107223
use[1,102]  1.108437
use[5,122]  1.109147
use[7,13]   1.110450
use[2,24]   1.127480
use[15,57]  1.127924
use[9,98]   1.129825
use[8,87]   1.130736
use[7,50]   1.131964
use[7,104]  1.138473
use[16,14]  1.142636
use[5,83]   1.148059
use[5,53]   1.152290
use[8,28]   1.152637
use[15,36]  1.152722
use[9,38]   1.156087
use[5,94]   1.174497
use[1,33]   1.175849
use[5,24]   1.177462
use[9,112]  1.191657
use[9,19]   1.198676
use[8,107]  1.201670
use[16,120] 1.207195
use[2,88]   1.216417
use[8,81]   1.241419
use[7,23]   1.310990
use[9,44]   1.352120
use[16,31]  1.398563
use[1,59]   1.401289
mu[16,55]   1.451538
mu[15,59]   1.455775
mu[16,33]   1.458464
mu[13,107]  1.458986
mu[14,68]   1.459586
mu[16,43]   1.459864
mu[14,113]  1.460330
mu[2,61]    1.460517
mu[2,91]    1.462377
mu[14,67]   1.463170
mu[4,76]    1.463230
mu[6,55]    1.463713
mu[7,79]    1.465231
mu[10,101]  1.465701
mu[13,112]  1.465737
mu[16,94]   1.466442
mu[6,88]    1.467240
mu[14,74]   1.467980
mu[6,81]    1.468246
mu[2,95]    1.468253
mu[6,36]    1.468392
mu[16,50]   1.469073
mu[6,45]    1.470344
mu[1,8]     1.470442
mu[14,90]   1.471370
mu[9,61]    1.471502
mu[6,32]    1.472972
mu[10,46]   1.473040
mu[16,98]   1.473732
mu[10,53]   1.473808
mu[11,17]   1.474513
mu[6,47]    1.474908
mu[16,3]    1.475187
mu[12,57]   1.475220
mu[9,58]    1.475451
mu[15,50]   1.475672
mu[6,101]   1.475775
mu[2,109]   1.475848
mu[4,79]    1.476124
mu[6,28]    1.476127
mu[1,97]    1.476229
mu[16,36]   1.476531
mu[12,12]   1.476659
mu[10,86]   1.477027
mu[1,75]    1.477200
mu[12,65]   1.477375
mu[14,79]   1.477487
mu[13,49]   1.477566
mu[5,61]    1.477654
mu[1,74]    1.477755
mu[15,39]   1.477784
mu[11,108]  1.477894
mu[6,19]    1.478701
mu[6,124]   1.478723
mu[6,102]   1.479327
mu[13,6]    1.479487
mu[1,108]   1.479607
mu[6,35]    1.479664
mu[11,18]   1.479711
mu[4,13]    1.479935
mu[14,109]  1.479988
mu[6,37]    1.480378
mu[16,23]   1.480513
mu[6,46]    1.480779
mu[16,29]   1.480797
mu[12,92]   1.481010
mu[16,22]   1.481143
mu[9,51]    1.481285
mu[11,75]   1.481390
mu[10,100]  1.481722
mu[15,124]  1.481778
mu[15,48]   1.481816
mu[7,58]    1.482130
mu[9,40]    1.482211
mu[14,84]   1.482238
mu[15,63]   1.482305
mu[6,21]    1.482557
mu[9,12]    1.482845
mu[9,2]     1.483070
mu[13,103]  1.483073
mu[1,80]    1.483297
mu[16,91]   1.483309
mu[7,66]    1.483449
mu[16,24]   1.483929
mu[15,76]   1.483942
mu[12,62]   1.484048
mu[14,65]   1.484170
mu[8,76]    1.484489
mu[16,47]   1.484510
mu[6,122]   1.484516
mu[10,92]   1.484995
mu[16,56]   1.485184
mu[6,120]   1.485275
mu[8,16]    1.485516
mu[2,39]    1.485540
mu[8,62]    1.485565
mu[12,8]    1.485844
mu[10,31]   1.486034
mu[13,106]  1.486550
mu[10,123]  1.487066
