[1] "not converged = 12"
[1] "total params = 3975"
[1] "which not converged: "
[1] "missing data: 0.382506527415144"
               Rhat
use[8,72]  1.102302
use[1,86]  1.102509
use[4,40]  1.104379
use[15,9]  1.110314
use[7,4]   1.128338
use[7,77]  1.169161
use[2,28]  1.310167
use[5,18]  1.324380
use[7,70]  1.349500
use[5,38]  1.661073
use[7,42]  1.964409
use[16,90] 2.378100
Inference for Bugs model at "~/bipartitemodelsBC/finalmodels/jagsNB/beta/m1o.txt", fit using jags,
 3 chains, each with 3000 iterations (first 100 discarded)
 n.sims = 8700 iterations saved
              mu.vect sd.vect      2.5%       25%       50%       75%     97.5%
beta_j         -1.071   0.080    -1.223    -1.125    -1.071    -1.019    -0.910
mn[1]          -1.851   0.063    -1.917    -1.883    -1.871    -1.848    -1.662
mn[2]           3.390   0.262     2.877     3.211     3.391     3.569     3.900
mu[2,5]         0.136   0.012     0.121     0.130     0.134     0.138     0.168
mu[3,5]         0.136   0.011     0.121     0.130     0.133     0.138     0.167
mu[4,5]         0.136   0.011     0.122     0.130     0.134     0.139     0.164
mu[5,5]         0.136   0.012     0.121     0.130     0.133     0.139     0.168
mu[6,5]         0.136   0.012     0.122     0.130     0.134     0.138     0.168
mu[7,5]         0.136   0.012     0.122     0.130     0.134     0.139     0.169
mu[8,5]         0.136   0.012     0.122     0.130     0.134     0.139     0.168
mu[9,5]         0.136   0.011     0.121     0.130     0.133     0.139     0.166
mu[10,5]        0.136   0.011     0.122     0.130     0.133     0.138     0.168
mu[11,5]        0.136   0.012     0.122     0.130     0.133     0.138     0.167
mu[12,5]        0.136   0.011     0.122     0.130     0.134     0.139     0.167
mu[13,5]        0.137   0.012     0.122     0.131     0.134     0.139     0.171
mu[14,5]        0.136   0.011     0.122     0.130     0.133     0.139     0.165
mu[15,5]        0.136   0.011     0.122     0.130     0.134     0.139     0.168
mu[16,5]        0.136   0.011     0.122     0.130     0.134     0.139     0.167
mu[1,6]         0.136   0.012     0.122     0.130     0.134     0.139     0.169
mu[2,6]         0.136   0.012     0.122     0.130     0.133     0.139     0.168
mu[3,6]         0.136   0.011     0.122     0.130     0.134     0.138     0.166
mu[4,6]         0.136   0.011     0.122     0.130     0.133     0.139     0.167
mu[5,6]         0.136   0.012     0.122     0.130     0.134     0.139     0.168
mu[6,6]         0.136   0.011     0.122     0.130     0.134     0.139     0.166
mu[7,6]         0.136   0.011     0.121     0.130     0.133     0.138     0.166
mu[8,6]         0.136   0.012     0.122     0.130     0.134     0.139     0.169
mu[9,6]         0.136   0.012     0.122     0.130     0.134     0.139     0.168
mu[10,6]        0.136   0.011     0.122     0.130     0.134     0.138     0.167
mu[11,6]        0.136   0.011     0.122     0.130     0.134     0.139     0.166
mu[12,6]        0.136   0.011     0.122     0.130     0.134     0.139     0.167
mu[13,6]        0.137   0.012     0.123     0.130     0.134     0.139     0.173
mu[14,6]        0.136   0.012     0.121     0.130     0.134     0.138     0.169
mu[15,6]        0.136   0.012     0.122     0.130     0.134     0.139     0.169
mu[16,6]        0.136   0.011     0.121     0.130     0.133     0.139     0.167
mu[1,7]         0.136   0.012     0.122     0.130     0.134     0.139     0.168
mu[2,7]         0.136   0.012     0.122     0.130     0.134     0.139     0.169
mu[3,7]         0.136   0.011     0.122     0.130     0.134     0.139     0.165
mu[4,7]         0.136   0.011     0.122     0.130     0.133     0.139     0.165
mu[5,7]         0.137   0.012     0.123     0.130     0.134     0.139     0.170
mu[6,7]         0.136   0.011     0.121     0.130     0.134     0.139     0.167
mu[7,7]         0.136   0.012     0.122     0.130     0.134     0.139     0.169
mu[8,7]         0.136   0.011     0.122     0.130     0.134     0.139     0.167
mu[9,7]         0.136   0.011     0.122     0.130     0.134     0.139     0.166
mu[10,7]        0.136   0.011     0.122     0.130     0.134     0.139     0.167
mu[11,7]        0.136   0.012     0.122     0.130     0.134     0.139     0.168
mu[12,7]        0.136   0.012     0.122     0.130     0.134     0.139     0.170
mu[13,7]        0.136   0.011     0.122     0.130     0.134     0.138     0.166
mu[14,7]        0.136   0.011     0.122     0.130     0.134     0.138     0.167
mu[15,7]        0.136   0.012     0.122     0.130     0.134     0.139     0.168
mu[16,7]        0.136   0.012     0.122     0.130     0.134     0.139     0.168
mu[1,8]         0.137   0.012     0.122     0.130     0.134     0.139     0.170
mu[2,8]         0.136   0.011     0.122     0.130     0.134     0.139     0.168
mu[3,8]         0.136   0.012     0.122     0.130     0.134     0.139     0.168
mu[4,8]         0.136   0.011     0.122     0.130     0.134     0.139     0.167
mu[5,8]         0.136   0.011     0.122     0.130     0.134     0.138     0.167
mu[6,8]         0.136   0.011     0.122     0.130     0.134     0.139     0.167
mu[7,8]         0.136   0.012     0.122     0.130     0.134     0.139     0.168
mu[8,8]         0.136   0.011     0.122     0.130     0.134     0.139     0.168
mu[9,8]         0.136   0.011     0.122     0.130     0.134     0.139     0.168
mu[10,8]        0.136   0.011     0.122     0.130     0.134     0.139     0.166
mu[11,8]        0.136   0.011     0.122     0.130     0.134     0.139     0.167
mu[12,8]        0.136   0.012     0.122     0.130     0.134     0.139     0.168
mu[13,8]        0.136   0.011     0.122     0.130     0.133     0.138     0.165
mu[14,8]        0.136   0.011     0.122     0.130     0.133     0.138     0.167
mu[15,8]        0.136   0.012     0.122     0.130     0.134     0.139     0.170
mu[16,8]        0.136   0.011     0.122     0.130     0.134     0.139     0.166
mu[1,9]         0.136   0.011     0.122     0.130     0.134     0.139     0.167
mu[2,9]         0.136   0.012     0.122     0.130     0.134     0.139     0.168
mu[3,9]         0.136   0.011     0.122     0.130     0.133     0.138     0.166
mu[4,9]         0.136   0.011     0.122     0.130     0.133     0.138     0.166
mu[5,9]         0.136   0.011     0.122     0.130     0.134     0.139     0.167
mu[6,9]         0.136   0.011     0.122     0.130     0.134     0.138     0.167
mu[7,9]         0.136   0.012     0.122     0.130     0.134     0.139     0.168
mu[8,9]         0.136   0.012     0.122     0.130     0.134     0.139     0.168
mu[9,9]         0.136   0.011     0.122     0.130     0.133     0.139     0.167
mu[10,9]        0.136   0.011     0.122     0.130     0.134     0.139     0.165
mu[11,9]        0.136   0.011     0.121     0.130     0.134     0.139     0.167
mu[12,9]        0.136   0.011     0.122     0.130     0.134     0.139     0.168
mu[13,9]        0.137   0.013     0.122     0.130     0.134     0.139     0.172
mu[14,9]        0.136   0.011     0.121     0.130     0.133     0.139     0.165
mu[15,9]        0.136   0.011     0.122     0.130     0.134     0.138     0.167
mu[16,9]        0.136   0.011     0.122     0.130     0.133     0.139     0.167
