[1] "not converged = 2204"
[1] "total params = 21733"
[1] "which not converged: "
                     Rhat
alpha[12,28]     1.153326
alpha[8,122]     1.153408
alpha[12,3]      1.154136
alpha[12,5]      1.154197
alpha[8,56]      1.154204
alpha[8,12]      1.154383
alpha[15,75]     1.154404
alpha[12,60]     1.154500
alpha[12,77]     1.154690
alpha[12,52]     1.154742
alpha[12,54]     1.154911
alpha[12,118]    1.155014
use[10,14]       1.155020
alpha[8,41]      1.155023
alpha[12,40]     1.155070
alpha[15,110]    1.155120
alpha[12,59]     1.155479
alpha[12,91]     1.155631
alpha[15,118]    1.155856
alpha[15,70]     1.155919
alpha[12,11]     1.155959
alpha[15,92]     1.155974
alpha[8,67]      1.156108
alpha[8,19]      1.156167
alpha[8,80]      1.156359
alpha[8,24]      1.156396
alpha[12,34]     1.156425
alpha[15,33]     1.156454
alpha[12,95]     1.156478
alpha[9,77]      1.156492
alpha[15,2]      1.156525
alpha[12,81]     1.156819
alpha[8,36]      1.156873
alpha[8,14]      1.156892
alpha[12,58]     1.156970
alpha[12,107]    1.157049
alpha[8,110]     1.157132
alpha[8,27]      1.157165
alpha[8,105]     1.157353
alpha[15,51]     1.157381
alpha[12,123]    1.157639
alpha[12,9]      1.157713
alpha[8,121]     1.157918
alpha[12,16]     1.157994
alpha[12,21]     1.158017
alpha[15,115]    1.158028
alpha[8,53]      1.158062
alpha[8,123]     1.158133
alpha[15,100]    1.158171
alpha[8,13]      1.158193
alpha[15,8]      1.158257
alpha[15,122]    1.158427
alpha[8,43]      1.158429
alpha[8,52]      1.158442
alpha[8,85]      1.158530
alpha[1,9]       1.158626
alpha[12,103]    1.158696
alpha[12,120]    1.158769
alpha[12,73]     1.158837
alpha[8,29]      1.159039
alpha[12,36]     1.159080
alpha[12,79]     1.159143
alpha[15,15]     1.159174
alpha[8,6]       1.159263
alpha[8,87]      1.159286
alpha[15,54]     1.159345
alpha[12,89]     1.159380
alpha[8,32]      1.159432
alpha[8,103]     1.159729
alpha[8,81]      1.159780
alpha[12,83]     1.159784
alpha[12,122]    1.159896
alpha[7,119]     1.159942
alpha[12,20]     1.159985
alpha[12,10]     1.160132
alpha[15,6]      1.160144
alpha[8,9]       1.160150
alpha[12,39]     1.160214
alpha[8,54]      1.160295
alpha[8,39]      1.160387
alpha[12,37]     1.160503
alpha[15,18]     1.160518
alpha[12,106]    1.160841
alpha[15,41]     1.161049
alpha[8,46]      1.161136
alpha[12,68]     1.161171
alpha[12,29]     1.161171
alpha[8,86]      1.161195
alpha[8,76]      1.161459
alpha[12,49]     1.161478
alpha[15,12]     1.161567
alpha[1,116]     1.161593
alpha[12,32]     1.161661
alpha[12,33]     1.161663
alpha[8,3]       1.161706
alpha[15,81]     1.161775
alpha[8,37]      1.161817
alpha[8,11]      1.161838
alpha[8,25]      1.161902
alpha[12,14]     1.161903
alpha[8,111]     1.161906
alpha[1,105]     1.161931
alpha[12,55]     1.161984
alpha[8,119]     1.162009
alpha[7,53]      1.162050
alpha[12,74]     1.162158
alpha[12,31]     1.162164
alpha[1,78]      1.162258
alpha[1,22]      1.162298
alpha[1,20]      1.162337
alpha[15,103]    1.162347
alpha[12,65]     1.162402
alpha[8,60]      1.162562
alpha[15,78]     1.162595
alpha[1,63]      1.162630
alpha[8,102]     1.162632
alpha[8,90]      1.162673
alpha[7,100]     1.162756
alpha[15,80]     1.162853
alpha[1,51]      1.162935
alpha[8,91]      1.162936
alpha[15,57]     1.163213
alpha[15,48]     1.163230
alpha[8,74]      1.163238
alpha[12,102]    1.163327
alpha[15,28]     1.163352
alpha[8,8]       1.163403
alpha[7,80]      1.163483
alpha[15,44]     1.163537
alpha[15,87]     1.163554
alpha[12,67]     1.163591
alpha[8,21]      1.163670
alpha[15,89]     1.163671
alpha[8,117]     1.163719
alpha[12,84]     1.163771
alpha[1,3]       1.163774
alpha[7,48]      1.163810
alpha[12,35]     1.164046
alpha[1,53]      1.164125
alpha[15,46]     1.164132
alpha[12,27]     1.164145
alpha[8,98]      1.164372
alpha[7,93]      1.164537
alpha[15,7]      1.164585
alpha[15,82]     1.164598
alpha[8,22]      1.164621
alpha[1,14]      1.164640
alpha[7,7]       1.164650
alpha[15,50]     1.164692
alpha[15,36]     1.164709
alpha[8,78]      1.164722
alpha[12,50]     1.164747
alpha[8,88]      1.164827
alpha[5,29]      1.164935
alpha[15,49]     1.165012
alpha[1,38]      1.165113
alpha[15,40]     1.165142
alpha[15,9]      1.165194
alpha[8,89]      1.165210
alpha[12,82]     1.165248
alpha[15,93]     1.165266
alpha[15,25]     1.165393
alpha[1,77]      1.165707
alpha[16,119]    1.165742
alpha[7,116]     1.165822
alpha[12,90]     1.165824
alpha[1,37]      1.165850
alpha[15,119]    1.165917
use[11,12]       1.165939
use[13,19]       1.165939
use[14,21]       1.165939
use[11,22]       1.165939
use[11,29]       1.165939
use[11,34]       1.165939
use[3,36]        1.165939
use[11,36]       1.165939
use[3,38]        1.165939
use[11,44]       1.165939
use[2,62]        1.165939
use[3,69]        1.165939
use[13,69]       1.165939
use[11,81]       1.165939
use[3,82]        1.165939
use[14,96]       1.165939
use[3,98]        1.165939
use[11,123]      1.165939
alpha[15,31]     1.166062
alpha[15,77]     1.166209
alpha[12,18]     1.166290
alpha[9,70]      1.166519
alpha[1,64]      1.166550
alpha[8,45]      1.166710
alpha[15,29]     1.166713
use[13,2]        1.166717
use[4,82]        1.166717
alpha[9,22]      1.166751
alpha[8,101]     1.166776
alpha[8,72]      1.166781
alpha[8,96]      1.166883
alpha[7,95]      1.166978
alpha[12,100]    1.167054
alpha[7,91]      1.167077
alpha[15,73]     1.167114
alpha[8,5]       1.167126
alpha[8,47]      1.167184
alpha[2,56]      1.167417
alpha[12,25]     1.167418
alpha[1,56]      1.167602
alpha[1,54]      1.167673
alpha[12,78]     1.167697
alpha[15,1]      1.167700
alpha[7,99]      1.167776
alpha[12,114]    1.167836
alpha[15,71]     1.167889
alpha[15,121]    1.167974
alpha[1,5]       1.167980
