[1] "not converged = 2002"
[1] "total params = 3975"
[1] "which not converged: "
[1] "missing data: 0.0522193211488251"
               Rhat
use[10,82] 1.101356
use[2,42]  1.101823
use[2,11]  1.102190
use[2,16]  1.105596
use[6,110] 1.133107
mu[6,103]  1.145298
mu[3,112]  1.149233
mu[4,98]   1.150159
mu[5,78]   1.150523
mu[16,52]  1.150546
mu[16,79]  1.150691
mu[5,110]  1.150954
mu[3,96]   1.151496
mu[11,79]  1.151517
phi        1.151816
mu[10,67]  1.151836
mu[11,117] 1.151975
mu[1,96]   1.151983
mu[14,6]   1.152073
mu[15,46]  1.152210
mu[11,92]  1.152334
mu[1,39]   1.152379
mu[16,24]  1.152717
mu[13,47]  1.152754
mu[13,51]  1.152760
mu[8,4]    1.152867
mu[9,98]   1.152941
mu[15,115] 1.152952
mu[11,123] 1.152961
mu[15,34]  1.153048
mu[3,91]   1.153065
mu[10,107] 1.153121
mu[11,80]  1.153163
mu[1,79]   1.153256
mu[9,26]   1.153273
mu[5,75]   1.153302
mu[13,32]  1.153307
mu[12,11]  1.153345
mu[15,104] 1.153423
mu[11,16]  1.153528
mu[16,36]  1.153645
mu[4,108]  1.153652
mu[14,3]   1.153672
mu[6,77]   1.153714
mu[12,69]  1.153724
mu[8,115]  1.153759
mu[4,19]   1.153809
mu[12,73]  1.153886
mu[16,108] 1.153974
mu[7,18]   1.153981
mu[5,11]   1.154010
mu[5,79]   1.154012
mu[13,19]  1.154030
mu[10,16]  1.154031
mu[6,31]   1.154043
mu[9,13]   1.154082
mu[15,27]  1.154138
mu[5,76]   1.154154
mu[16,77]  1.154242
mu[10,30]  1.154348
mu[14,91]  1.154391
mu[9,18]   1.154532
mu[15,94]  1.154673
mu[7,120]  1.154693
mu[16,7]   1.154736
mu[5,117]  1.154739
mu[9,117]  1.154767
mu[9,108]  1.154828
mu[15,45]  1.154877
mu[10,11]  1.154968
mu[4,10]   1.155003
mu[6,15]   1.155018
mu[4,35]   1.155029
mu[9,119]  1.155063
mu[7,77]   1.155097
mu[3,39]   1.155104
