[1] "not converged = 2012"
[1] "total params = 3974"
[1] "which not converged: "
                Rhat
mu[7,69]    1.306422
mu[13,115]  1.306433
mu[9,85]    1.306470
mu[16,26]   1.306520
mu[5,37]    1.306612
mu[8,111]   1.306641
mu[15,67]   1.306701
mu[6,101]   1.306736
mu[14,71]   1.306806
mu[3,10]    1.306825
mu[14,61]   1.306874
mu[7,31]    1.306927
mu[2,18]    1.306951
mu[10,31]   1.307112
mu[16,35]   1.307306
mu[7,19]    1.307391
mu[8,22]    1.307461
mu[6,105]   1.307530
mu[5,122]   1.307568
mu[12,47]   1.307600
mu[9,26]    1.307644
mu[6,48]    1.307648
mu[15,17]   1.307688
mu[7,49]    1.307692
mu[13,116]  1.307777
mu[4,76]    1.307799
mu[3,48]    1.307811
mu[11,60]   1.307881
mu[12,19]   1.308010
mu[9,3]     1.308169
mu[7,5]     1.308286
mu[2,25]    1.308295
mu[6,19]    1.308398
mu[7,2]     1.308411
mu[3,8]     1.308431
mu[8,65]    1.308606
mu[10,20]   1.308618
mu[10,25]   1.308619
mu[14,34]   1.308623
mu[16,85]   1.308686
mu[12,63]   1.308738
mu[1,31]    1.308817
mu[15,1]    1.308817
mu[9,51]    1.308820
mu[2,21]    1.308992
mu[1,18]    1.308996
mu[10,19]   1.309230
mu[1,107]   1.309272
mu[1,17]    1.309310
mu[15,52]   1.309394
mu[8,103]   1.309402
mu[1,46]    1.309431
mu[4,54]    1.309577
mu[9,53]    1.309794
mu[6,45]    1.309795
mu[16,119]  1.309882
mu[3,60]    1.309914
mu[12,110]  1.309995
mu[1,13]    1.310057
mu[13,13]   1.310064
mu[12,99]   1.310099
mu[12,27]   1.310179
mu[12,94]   1.310190
mu[12,92]   1.310302
mu[1,39]    1.310363
mu[7,101]   1.310399
mu[3,87]    1.310508
mu[6,21]    1.310546
mu[7,58]    1.310587
mu[9,15]    1.310596
mu[10,29]   1.310635
mu[10,123]  1.310641
mu[15,89]   1.310679
mu[4,13]    1.310730
mu[11,120]  1.310767
mu[14,54]   1.310899
mu[5,90]    1.310911
mu[16,19]   1.310912
mu[13,92]   1.310913
mu[6,44]    1.311089
mu[6,12]    1.311099
mu[16,9]    1.311140
mu[6,91]    1.311150
mu[15,66]   1.311167
mu[4,46]    1.311273
mu[9,16]    1.311363
mu[8,13]    1.311445
mu[9,91]    1.311473
mu[8,53]    1.311531
mu[9,39]    1.311655
mu[5,28]    1.311662
mu[2,92]    1.311791
mu[4,4]     1.311805
mu[1,85]    1.311829
mu[8,43]    1.311873
mu[12,84]   1.311907
mu[11,115]  1.311982
mu[7,52]    1.312070
mu[9,79]    1.312075
mu[10,42]   1.312088
mu[9,117]   1.312130
mu[10,96]   1.312172
mu[8,25]    1.312180
mu[8,14]    1.312189
mu[8,110]   1.312228
mu[8,19]    1.312329
mu[5,116]   1.312329
mu[8,98]    1.312403
mu[12,39]   1.312410
mu[16,37]   1.312429
mu[9,5]     1.312430
mu[5,87]    1.312468
mu[9,14]    1.312508
mu[13,117]  1.312544
mu[5,13]    1.312630
mu[15,123]  1.312633
mu[7,27]    1.312827
mu[7,67]    1.312981
mu[8,100]   1.312990
mu[2,70]    1.313001
mu[6,24]    1.313074
mu[15,102]  1.313123
mu[9,115]   1.313140
mu[11,49]   1.313159
mu[1,48]    1.313183
mu[7,6]     1.313201
mu[6,73]    1.313202
mu[6,37]    1.313203
mu[4,124]   1.313237
mu[7,11]    1.313242
mu[13,99]   1.313268
mu[9,1]     1.313300
mu[4,92]    1.313311
mu[12,1]    1.313326
mu[8,99]    1.313338
mu[6,119]   1.313341
mu[1,102]   1.313358
mu[11,68]   1.313379
mu[13,77]   1.313380
mu[2,30]    1.313568
mu[14,90]   1.313632
mu[12,64]   1.313716
mu[7,74]    1.313803
mu[16,45]   1.313805
mu[8,5]     1.313876
mu[5,42]    1.313918
mu[12,115]  1.314020
mu[12,86]   1.314069
mu[8,83]    1.314091
mu[2,13]    1.314162
mu[10,101]  1.314232
mu[7,1]     1.314236
mu[13,66]   1.314238
mu[15,90]   1.314298
mu[1,82]    1.314318
mu[10,24]   1.314359
mu[6,86]    1.314360
mu[8,80]    1.314390
mu[10,4]    1.314401
mu[1,74]    1.314408
mu[15,104]  1.314453
mu[13,73]   1.314491
mu[8,88]    1.314508
mu[1,111]   1.314510
mu[7,98]    1.314549
mu[6,25]    1.314569
mu[15,21]   1.314584
mu[10,36]   1.314622
mu[8,63]    1.314626
mu[6,95]    1.314632
mu[15,94]   1.314676
mu[7,81]    1.314749
mu[15,24]   1.314751
mu[5,57]    1.314752
mu[12,120]  1.314817
mu[5,68]    1.314827
mu[9,121]   1.314873
mu[11,94]   1.314885
mu[7,47]    1.314919
mu[7,70]    1.314931
mu[6,22]    1.314961
mu[12,121]  1.315023
mu[14,95]   1.315074
mu[1,19]    1.315114
mu[12,68]   1.315180
mu[15,5]    1.315194
mu[14,3]    1.315207
mu[8,36]    1.315222
mu[1,45]    1.315239
mu[5,121]   1.315243
mu[14,43]   1.315311
mu[2,69]    1.315320
mu[14,59]   1.315339
mu[6,65]    1.315372
mu[12,75]   1.315480
mu[11,101]  1.315519
mu[12,100]  1.315581
mu[2,119]   1.315591
mu[16,113]  1.315595
mu[12,78]   1.315627
mu[1,92]    1.315629
mu[8,23]    1.315635
mu[12,93]   1.315651
mu[2,9]     1.315662
mu[11,40]   1.315775
mu[1,59]    1.315859
mu[4,9]     1.315987
mu[8,120]   1.316008
mu[12,111]  1.316047
mu[1,76]    1.316084
mu[15,48]   1.316088
mu[10,100]  1.316139
mu[8,17]    1.316141
mu[5,104]   1.316239
mu[8,44]    1.316302
mu[4,1]     1.316324
mu[12,32]   1.316412
mu[1,56]    1.316417
mu[12,97]   1.316435
mu[10,104]  1.316469
mu[15,42]   1.316482
mu[1,69]    1.316489
mu[8,92]    1.316497
mu[6,89]    1.316532
mu[9,75]    1.316547
mu[7,87]    1.316597
mu[14,57]   1.316605
mu[10,48]   1.316606
mu[3,101]   1.316612
mu[15,11]   1.316631
mu[10,56]   1.316637
mu[1,44]    1.316715
mu[12,79]   1.316724
mu[15,122]  1.316794
mu[15,95]   1.316839
mu[16,89]   1.316850
mu[11,92]   1.316867
mu[3,45]    1.316912
mu[1,24]    1.317113
mu[6,69]    1.317131
mu[4,116]   1.317200
mu[11,103]  1.317211
mu[3,112]   1.317212
mu[11,95]   1.317220
mu[15,69]   1.317243
mu[14,107]  1.317273
mu[15,119]  1.317322
mu[1,68]    1.317323
mu[2,51]    1.317368
mu[16,122]  1.317370
mu[7,36]    1.317410
mu[16,33]   1.317436
mu[1,52]    1.317467
mu[10,121]  1.317482
mu[9,101]   1.317533
mu[8,56]    1.317578
mu[4,112]   1.317587
mu[6,34]    1.317681
mu[9,88]    1.317702
mu[10,45]   1.317715
mu[16,3]    1.317741
mu[16,72]   1.317743
mu[9,29]    1.317751
mu[3,74]    1.317768
mu[15,111]  1.317769
mu[8,30]    1.317774
mu[7,33]    1.317774
mu[1,122]   1.317776
mu[12,15]   1.317799
mu[15,31]   1.317835
mu[1,71]    1.317910
mu[11,73]   1.317912
mu[11,64]   1.317960
mu[8,57]    1.317961
mu[15,77]   1.317964
mu[7,25]    1.318113
mu[15,68]   1.318131
mu[8,12]    1.318149
mu[8,115]   1.318161
mu[14,72]   1.318192
mu[3,18]    1.318195
mu[9,2]     1.318265
mu[15,35]   1.318291
mu[8,121]   1.318311
mu[10,110]  1.318371
mu[16,116]  1.318390
mu[6,92]    1.318402
mu[2,97]    1.318405
mu[11,59]   1.318408
mu[12,66]   1.318409
mu[10,22]   1.318533
mu[1,88]    1.318567
mu[1,90]    1.318612
mu[11,119]  1.318626
mu[15,74]   1.318641
mu[2,116]   1.318674
mu[14,88]   1.318721
mu[6,20]    1.318729
mu[12,21]   1.318753
mu[15,113]  1.318871
mu[14,44]   1.318885
mu[13,63]   1.318904
mu[11,112]  1.318906
mu[9,65]    1.318925
mu[11,109]  1.318933
mu[10,116]  1.318948
mu[7,54]    1.318960
mu[13,111]  1.318962
mu[15,87]   1.318982
mu[1,50]    1.319016
mu[2,86]    1.319151
mu[4,57]    1.319159
mu[1,9]     1.319165
mu[1,94]    1.319169
mu[16,94]   1.319190
mu[2,85]    1.319283
mu[7,72]    1.319297
mu[12,25]   1.319302
mu[15,47]   1.319303
mu[7,116]   1.319313
mu[10,5]    1.319323
mu[2,123]   1.319325
mu[15,76]   1.319330
mu[15,91]   1.319368
mu[7,8]     1.319423
mu[9,97]    1.319472
mu[10,46]   1.319494
mu[6,94]    1.319541
mu[8,108]   1.319548
mu[9,9]     1.319629
mu[12,71]   1.319638
mu[7,18]    1.319640
mu[11,81]   1.319693
mu[6,40]    1.319727
mu[10,47]   1.319781
mu[15,43]   1.319796
mu[11,116]  1.319802
mu[9,86]    1.319820
mu[9,70]    1.319850
mu[12,9]    1.319855
mu[9,74]    1.319962
mu[16,64]   1.319964
mu[7,121]   1.319973
mu[14,67]   1.320027
mu[9,62]    1.320063
mu[3,52]    1.320067
mu[1,81]    1.320079
mu[6,104]   1.320130
mu[14,73]   1.320131
mu[5,36]    1.320197
mu[9,124]   1.320227
mu[15,41]   1.320267
mu[16,80]   1.320272
mu[9,30]    1.320298
mu[4,79]    1.320353
mu[14,14]   1.320371
mu[2,78]    1.320383
mu[7,123]   1.320385
mu[1,60]    1.320570
mu[7,9]     1.320589
mu[5,119]   1.320609
mu[13,89]   1.320638
mu[1,57]    1.320703
mu[1,7]     1.320726
mu[12,23]   1.320744
mu[15,71]   1.320823
mu[10,34]   1.320825
mu[9,20]    1.320874
mu[7,90]    1.320958
mu[4,37]    1.320961
mu[5,21]    1.320965
mu[13,105]  1.320973
mu[9,34]    1.321012
mu[2,41]    1.321021
mu[9,119]   1.321075
mu[10,21]   1.321078
mu[2,57]    1.321082
mu[14,104]  1.321092
mu[7,110]   1.321146
mu[10,85]   1.321171
mu[8,117]   1.321193
mu[14,46]   1.321208
mu[8,8]     1.321262
mu[14,79]   1.321284
mu[15,27]   1.321317
mu[9,12]    1.321322
mu[6,100]   1.321396
mu[12,34]   1.321416
mu[15,25]   1.321439
mu[10,108]  1.321478
mu[7,29]    1.321509
mu[9,48]    1.321769
mu[14,35]   1.321825
mu[7,4]     1.321841
mu[6,113]   1.321935
mu[6,61]    1.321951
mu[4,3]     1.321971
mu[14,89]   1.321994
mu[13,101]  1.322016
mu[1,11]    1.322052
mu[12,114]  1.322079
mu[4,85]    1.322081
mu[12,65]   1.322131
mu[3,35]    1.322151
mu[1,32]    1.322153
mu[5,58]    1.322158
mu[12,58]   1.322201
mu[7,40]    1.322215
mu[10,77]   1.322218
mu[10,124]  1.322236
mu[9,49]    1.322263
mu[4,18]    1.322292
mu[15,116]  1.322367
mu[12,29]   1.322413
mu[3,43]    1.322452
mu[10,40]   1.322456
mu[16,120]  1.322462
mu[16,12]   1.322500
mu[3,33]    1.322520
mu[15,14]   1.322541
mu[7,41]    1.322576
mu[10,2]    1.322600
mu[13,14]   1.322619
mu[12,102]  1.322619
mu[12,112]  1.322670
mu[7,12]    1.322686
mu[3,4]     1.322707
mu[14,80]   1.322723
mu[3,56]    1.322768
mu[1,104]   1.322822
mu[15,19]   1.322835
mu[9,43]    1.322862
mu[6,66]    1.322898
