[1] "not converged = 387"
[1] "total params = 3975"
[1] "which not converged: "
                Rhat
sd[1]       1.102980
use[2,80]   1.110448
use[3,23]   1.115398
alpha_cov   1.118900
use[16,57]  1.126056
use[2,62]   1.130137
use[16,123] 1.135150
use[10,49]  1.142898
use[16,103] 1.145696
mu[16,77]   1.161248
mu[16,46]   1.161844
mu[6,23]    1.162541
mu[6,29]    1.162610
mu[6,103]   1.163100
mu[16,67]   1.164007
mu[16,115]  1.164395
mu[6,61]    1.165078
mu[10,10]   1.165343
mu[16,43]   1.165435
mu[10,26]   1.165518
mu[16,66]   1.165546
mu[10,27]   1.165728
mu[6,8]     1.166307
mu[6,62]    1.166430
mu[16,58]   1.166774
mu[16,11]   1.166863
mu[10,82]   1.166905
mu[16,102]  1.166927
mu[10,17]   1.166967
use[10,90]  1.167177
mu[6,63]    1.167250
mu[10,61]   1.167252
mu[6,113]   1.167284
mu[6,58]    1.167289
mu[6,83]    1.167295
mu[16,16]   1.167528
mu[6,20]    1.167702
mu[16,6]    1.167772
mu[6,15]    1.168170
mu[16,23]   1.168184
mu[6,84]    1.168247
mu[10,59]   1.168319
mu[10,45]   1.168550
mu[10,105]  1.168749
mu[10,63]   1.168817
mu[16,39]   1.168944
mu[6,21]    1.168953
mu[16,4]    1.169000
mu[10,29]   1.169174
mu[10,104]  1.169310
mu[16,65]   1.169331
mu[6,19]    1.169353
mu[6,75]    1.169487
mu[16,37]   1.169725
mu[10,122]  1.169737
mu[10,47]   1.169784
mu[10,69]   1.169829
mu[16,49]   1.169921
mu[16,8]    1.169962
mu[6,111]   1.170111
mu[10,98]   1.170192
mu[10,57]   1.170199
mu[10,16]   1.170207
mu[6,97]    1.170208
mu[10,58]   1.170448
mu[10,95]   1.170453
mu[16,28]   1.170495
mu[10,55]   1.170502
mu[6,31]    1.170522
mu[16,3]    1.170534
mu[6,106]   1.170718
mu[6,41]    1.170720
mu[10,89]   1.170726
mu[6,88]    1.170838
mu[6,30]    1.170839
mu[10,18]   1.170890
mu[6,109]   1.170899
mu[10,79]   1.170925
mu[16,24]   1.170965
mu[6,4]     1.171129
mu[16,17]   1.171198
mu[10,42]   1.171242
mu[16,118]  1.171340
mu[6,78]    1.171354
mu[16,79]   1.171369
mu[10,34]   1.171454
mu[16,99]   1.171462
mu[10,5]    1.171504
mu[16,59]   1.171580
mu[10,114]  1.171582
mu[6,65]    1.171587
mu[10,67]   1.171615
mu[6,101]   1.171644
mu[10,109]  1.171681
mu[16,104]  1.171703
mu[10,111]  1.171779
mu[16,33]   1.171861
mu[16,1]    1.172111
mu[16,70]   1.172293
mu[10,85]   1.172334
mu[16,50]   1.172376
